@relation 'iris-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute petallength {'\'(-inf-2.45]\'','\'(2.45-4.75]\'','\'(4.75-inf)\''}
@attribute petalwidth {'\'(-inf-0.8]\'','\'(0.8-1.75]\'','\'(1.75-inf)\''}
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-2.45]\'','\'(-inf-0.8]\'',Iris-setosa
'\'(-inf-2.45]\'','\'(-inf-0.8]\'',Iris-setosa
'\'(-inf-2.45]\'','\'(-inf-0.8]\'',Iris-setosa
'\'(-inf-2.45]\'','\'(-inf-0.8]\'',Iris-setosa
'\'(-inf-2.45]\'','\'(-inf-0.8]\'',Iris-setosa
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(4.75-inf)\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(4.75-inf)\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(4.75-inf)\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(4.75-inf)\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(4.75-inf)\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-versicolor
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(2.45-4.75]\'','\'(0.8-1.75]\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(0.8-1.75]\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(0.8-1.75]\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(0.8-1.75]\'',Iris-virginica
'\'(4.75-inf)\'','\'(0.8-1.75]\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
'\'(4.75-inf)\'','\'(1.75-inf)\'',Iris-virginica
